#param	opt_value	std_err
TA	782166.710768297	144204.31400155436
TB	107416.23228118748	16526.372280529657
TF	44668.64970235773	3074.629276701516
Ne	11577.44060294043	1173.666188837098
NA	24691.4075292242	746.6743263132181
NB	2556.6660339683012	282.63615925455986
NEu0	2483.2445973555714	137.78779363531746
NEuF	30163.2505346523	2479.6171564833603
NAs0	1924.1658454709668	263.08257518343396
NAsF	13338.597889823102	1791.7344347548367
mAfB	2.5847348950592243e-05	3.109230656824058e-06
mAfEu	3.985223203657952e-06	1.2478103418199921e-06
mAfAs	6.411875801487908e-05	3.9340719905273e-06
mEuAs	0.0001585513950638571	1.7626267442088265e-05
