#param	opt_value	std_err
TA	483457.24308765423	25420.673802389763
TB	88347.64825867464	29992.67240144895
TF	51166.128542006336	5976.187371725484
Ne	13580.373657849503	305.79416778964975
NA	27142.07281765073	587.8681412854332
NB	1834.8116479610317	1260.1622874276609
NEu0	2761.3347067250797	258.51554427048467
NEuF	26462.05884107293	7066.990692442967
NAs0	1954.52946761033	211.05788675631973
NAsF	15363.53634144032	1617.0881634190262
mAfB	2.501606466512543e-05	2.886775660163807e-06
mAfEu	3.2948319408915263e-06	4.98365024002697e-07
mAfAs	6.62400743683469e-05	1.131720149543662e-05
mEuAs	0.00015859499514691533	2.7141613370223993e-05
