PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,Samplename,Subpopulation,Superpopulation,Gender
20.19079,-40.21544,18.629313,-1.74164,2.5370598,-0.39570755,0.72869843,-0.06308154,0.8839938,-0.48783153,HG01500,IBS,EUR,male
16.42959,-40.82343,19.75945,0.21219231,-2.4881492,1.0845536,-1.830446,0.1832101,-0.77130073,-1.9189844,HG01501,IBS,EUR,female
17.468914,-44.20085,22.100803,2.7889144,0.7785747,-1.6782398,-1.1055624,0.6474996,-1.2222197,0.93980396,HG01503,IBS,EUR,male
19.8102,-42.61038,19.552141,0.03290924,-1.030603,-1.9710445,1.1923064,-0.99704975,-0.34198755,0.8816843,HG01504,IBS,EUR,female
17.539675,-43.597042,20.260626,1.0502561,0.37384444,2.339907,-1.373537,0.9835883,2.5121853,-0.7922977,HG01506,IBS,EUR,male
18.985174,-41.33016,18.126413,0.5233344,0.065950476,0.75263685,-0.1381299,-1.560143,-0.22342145,0.91054714,HG01507,IBS,EUR,female
18.891283,-42.94622,20.622372,1.6008908,0.24545847,-0.32484287,-1.0016016,0.09226596,-1.6513797,2.315648,HG01509,IBS,EUR,male
16.688051,-43.471004,18.763063,-0.023361254,-0.19584118,0.82595146,-1.0281806,-0.3157371,0.7063265,-0.09229429,HG01510,IBS,EUR,female
19.524263,-45.032955,20.245043,-0.6474344,0.57461405,0.92761797,0.5797854,0.33016777,0.6334574,0.9342794,HG01512,IBS,EUR,male
19.24188,-43.978474,19.63768,-0.574634,-0.82908195,0.7675158,2.3211393,0.97977686,-0.22260052,0.49241847,HG01513,IBS,EUR,female
19.005756,-44.054626,20.242147,0.94809693,-2.937581,-0.6729044,-0.33571872,1.530375,0.8056292,2.619781,HG01515,IBS,EUR,male
17.855942,-47.21663,18.381245,-1.1114883,-0.0022353432,2.318261,-2.0260413,3.0664294,-1.6557153,0.5070189,HG01516,IBS,EUR,female
20.039082,-45.97324,22.210608,0.6744743,-0.82798785,0.7329265,0.44915164,0.35867822,-1.1284659,0.8104413,HG01518,IBS,EUR,male
20.070541,-42.159878,21.29277,0.24316846,-0.8613243,-1.4044684,-0.4738228,-0.017586056,-0.6144103,0.76406837,HG01519,IBS,EUR,female
