PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,Samplename
-111.33282,15.11707,5.846508,-6.8452272,27.49864,-43.757107,19.221624,-22.527418,0.11220825,83.132454,YRI_0indv
-111.00798,12.667328,5.0700903,-92.84797,123.93944,-337.53424,-76.87791,23.87362,59.488667,13.970089,YRI_1indv
-111.888626,14.648009,7.150481,-31.19737,46.39865,-16.21533,-3.9114108,25.223404,9.226904,-0.5312494,YRI_2indv
-110.34219,12.281754,5.1281333,-20.322542,-24.072083,18.500357,-27.524366,49.819027,42.835762,40.044224,YRI_3indv
-108.54079,13.385716,4.9645915,9.7512245,-16.31761,22.27066,-13.090736,60.549072,-67.05678,-11.084903,YRI_4indv
-107.30664,13.8179245,4.7922935,7.5513554,-0.17745595,43.06175,-9.899094,27.66648,-26.878479,51.489407,YRI_5indv
-101.47545,10.465571,4.1544046,10.089827,9.450297,-11.782142,-36.675873,0.5371366,-24.17761,-14.755039,YRI_6indv
-106.146614,11.127638,5.002564,-0.7075359,19.440668,32.68314,-39.276936,5.5896072,-52.147766,-45.64486,YRI_7indv
-110.75943,14.404761,7.316542,-8.537535,-74.67255,38.32219,-20.629639,32.99647,134.03345,48.87668,YRI_8indv
-110.4047,12.091351,5.3302164,-86.94335,131.64313,-338.90356,-44.552475,21.332996,43.173294,31.52482,YRI_9indv
-101.8652,12.840368,4.3811684,-15.367373,-2.8443394,0.9468543,-26.006365,4.0765486,-48.401283,-37.380737,YRI_10indv
-108.86278,12.718718,4.9252644,10.4811325,32.36003,10.723247,26.6514,-60.759113,8.625209,29.244438,YRI_11indv
-106.77767,13.392929,4.344761,-15.374484,21.353848,7.251175,-25.171507,64.04915,-48.477158,-47.749847,YRI_12indv
-103.314095,12.689891,6.3122406,-21.040426,6.7563133,3.9049485,-31.112656,28.454079,15.622379,-18.538723,YRI_13indv
-103.60311,12.890951,5.0138993,-10.669914,11.372024,2.2364542,18.10839,21.713118,-30.977701,-37.603233,YRI_14indv
-108.518,15.811186,6.9514976,30.533052,-48.137253,15.045747,11.515606,-0.15047592,7.809626,11.210273,YRI_15indv
-107.7611,14.930321,3.694119,-11.0459585,-6.2310104,33.849064,-15.091493,-19.1156,15.704523,6.1421704,YRI_16indv
-99.57292,12.395521,5.998376,-19.309654,4.199166,13.995112,-21.944353,53.278732,-9.783864,18.997845,YRI_17indv
-102.09722,13.751001,5.76629,-13.950429,-16.933537,14.7150545,25.709318,3.5054631,-9.307603,-3.117675,YRI_18indv
-106.63082,11.57211,3.922914,-27.777153,-21.366144,13.097028,-4.4504323,59.426308,20.14666,31.397783,YRI_19indv
-110.552925,12.827174,5.255283,-9.334499,-0.021757582,10.159378,9.07149,-1.9394135,52.218388,25.162638,YRI_20indv
-107.70601,14.187522,5.2368336,-7.82776,25.416262,28.414427,-10.108478,23.04361,5.1262174,99.6877,YRI_21indv
-109.89096,13.921172,7.1769576,-7.2370257,5.428378,16.003593,10.903307,28.418993,-5.514124,5.784964,YRI_22indv
-108.98541,10.515119,4.8431625,-5.5774174,5.984658,-11.363655,-37.259014,-23.973467,-31.238848,59.07763,YRI_23indv
-106.02212,15.595978,5.7721615,-4.152064,-22.586027,33.255333,-34.208282,-85.094986,-42.131474,-58.17358,YRI_24indv
-110.44717,13.0456505,8.1981735,33.863205,76.01067,-19.688364,57.13255,-16.322247,-77.49391,18.855978,YRI_25indv
-110.14139,13.943272,6.3616185,35.792645,8.161454,-37.806747,146.70503,45.442593,-89.44714,82.85805,YRI_26indv
-107.51208,12.548082,3.634911,17.755795,15.678223,26.238184,-40.762257,23.712486,-8.589185,39.831543,YRI_27indv
-105.65567,13.009645,5.581247,-3.855131,-18.531307,15.865097,-36.98031,17.734789,70.233955,77.56742,YRI_28indv
-108.6258,14.6919,8.107593,27.21724,31.766178,-16.78283,-4.3170385,-37.804546,81.09993,-3.4729924,YRI_29indv
-108.08461,13.6032915,8.342228,21.694397,-26.92093,70.488655,-54.429947,106.46487,201.59842,80.239815,YRI_30indv
-109.87638,14.868931,6.147277,1.3806074,27.552109,5.8813176,274.1373,-52.07691,100.96548,-21.710135,YRI_31indv
-110.42661,15.402034,5.5502114,-5.681481,-15.856341,65.30325,-52.657185,-257.76086,85.21949,-9.543423,YRI_32indv
-108.73775,13.820816,6.011031,7.123972,14.407853,48.175613,-40.291836,-40.496586,4.8266587,-109.23389,YRI_33indv
-110.23249,14.459724,6.9695497,-2.0314343,-6.090261,48.866455,-4.951471,37.881824,-55.913063,-130.12785,YRI_34indv
-112.48901,14.669618,5.3868866,-14.296361,57.595688,28.703165,-20.270582,8.919934,-65.02938,-49.934353,YRI_35indv
-106.51439,15.702267,5.094921,16.755878,1.2162747,6.057373,11.282583,25.724007,1.7224482,-24.532066,YRI_36indv
-111.514496,16.355421,7.075087,-20.549967,31.196968,30.318079,-35.52713,-206.82219,-18.142735,98.32849,YRI_37indv
-106.9931,15.120011,7.326272,-5.9772468,5.904426,12.091892,3.332152,39.661682,-31.90651,15.0653515,YRI_38indv
-113.11421,13.431609,5.9874964,-24.060665,17.941439,-0.970477,12.003975,-29.126028,16.754045,-25.28796,YRI_39indv
-108.03087,14.801515,6.2119927,-13.011114,3.6852803,2.4505675,-1.6781514,7.2497783,-8.936856,0.87082183,YRI_40indv
-110.63313,14.481348,4.50679,9.216084,-31.775349,-36.78146,18.846706,38.334812,-13.264098,-95.6614,YRI_41indv
-106.48025,15.759279,6.1579995,-19.103666,10.742304,-5.8286724,-21.689802,3.3429716,-16.282763,-22.996347,YRI_42indv
-101.44253,12.160273,3.6999676,-17.656464,24.382807,-8.512136,-30.499796,49.007244,45.637424,-36.45024,YRI_43indv
-112.23782,15.427479,7.07747,-17.799574,62.178318,-2.4026647,258.4284,-35.547993,107.416954,-78.99536,YRI_44indv
-106.87441,14.1735115,5.2823925,-6.430535,-21.062094,25.12408,-16.122778,6.5130367,41.37474,-45.31162,YRI_45indv
-104.08149,12.698286,4.5883303,-13.54808,10.8812065,3.7893949,-18.370478,-23.337618,-17.323303,-5.3817134,YRI_46indv
-113.5094,17.591436,7.036536,-41.881176,-368.51178,-125.985374,41.199574,-50.847218,-30.904272,4.372393,YRI_47indv
-113.50803,17.65074,6.6792336,-66.95812,-346.38052,-144.53644,32.03006,-27.948854,-20.917532,-14.718343,YRI_48indv
-102.11241,12.6987705,4.368233,-4.2414927,-29.288256,10.012833,-9.564861,-16.069159,-20.76859,-4.189755,YRI_49indv
-113.38617,14.97857,6.5928216,-12.830229,21.465776,12.968844,-23.463428,27.638952,-28.778086,-67.75188,YRI_50indv
-110.03518,14.393373,7.0504546,57.807446,-65.08949,60.62839,-73.63507,119.227974,279.11703,91.44986,YRI_51indv
-109.5119,15.756454,6.0113,15.249068,-9.650196,6.439427,-41.1438,-184.68976,104.91486,-103.3265,YRI_52indv
-103.27521,12.382089,3.8956847,-5.4450235,25.846077,21.63499,1.1163845,19.485003,19.516737,-9.439524,YRI_53indv
-105.27765,15.016812,6.7267056,28.160212,34.90012,10.531606,11.248921,-30.750587,7.001831,62.42156,YRI_54indv
-110.74006,14.224573,5.228294,-2.4449375,8.815048,20.107988,-42.688496,6.7007165,15.264909,-26.079752,YRI_55indv
-108.519806,11.645434,3.4345737,-2.7666757,-9.144945,-8.10407,-3.0790975,-7.730918,-11.611979,13.117871,YRI_56indv
-108.546936,14.113607,6.5377865,22.452084,-20.895943,10.379263,-17.630068,52.903168,-123.40904,12.100996,YRI_57indv
-111.13367,13.099528,6.2520547,-26.38473,0.9339497,-18.946228,3.0381856,46.374004,82.51558,-67.679596,YRI_58indv
-109.42469,15.488012,9.690106,-16.474413,-10.7041855,12.028922,56.08584,7.5622983,9.234475,-72.34624,YRI_59indv
-103.858986,12.522445,5.98264,-9.203735,-19.14823,27.72145,-28.160198,18.314798,-38.205654,-93.22955,YRI_60indv
-110.90593,13.207901,4.966069,-7.2745366,-79.4722,-13.049888,-44.06576,-5.1829925,15.648112,15.376154,YRI_61indv
-106.55424,15.423933,7.3079677,-23.097952,-14.320576,39.11567,-8.614945,27.567638,-7.2244587,51.339317,YRI_62indv
-104.965904,11.727767,3.8394387,0.29447252,18.48851,-2.3128896,2.03646,23.985922,-52.502007,25.406603,YRI_63indv
-110.60649,14.286874,6.226583,-1.4205425,-7.202687,-2.9486094,-8.735931,9.420908,-21.216108,-5.2698035,YRI_64indv
-110.19574,13.333825,7.4356284,-24.147232,-43.166817,13.018149,-0.95050246,33.93215,-3.4501314,-24.443441,YRI_65indv
-99.81427,10.163129,2.9571295,-25.46376,36.311073,-54.18838,-25.101986,3.1456754,-18.730968,25.888721,YRI_66indv
-107.47039,15.44964,7.2114635,-5.59059,12.214236,33.134956,-29.540247,49.01014,-30.633497,-90.023994,YRI_67indv
-109.00091,12.879397,6.358554,13.046304,38.60931,-13.086407,-10.989592,-66.594185,-5.68731,-20.377262,YRI_68indv
-110.00437,12.677667,6.5187626,-6.0365367,5.0911584,22.042143,35.259686,67.74281,-116.083435,152.9743,YRI_69indv
-106.530914,11.554329,4.380069,-32.679253,38.21171,-14.8931465,-26.873043,23.032318,-24.21217,-53.655605,YRI_70indv
-111.90716,14.159345,6.1584067,-26.353561,27.959753,-13.22941,-19.005594,-20.798807,38.375362,-89.99047,YRI_71indv
-107.832985,11.979084,6.106851,-1.8743824,21.561872,13.968392,-39.16831,-64.687096,10.068682,-50.118126,YRI_72indv
-107.27205,15.329404,7.5769596,4.053226,19.796854,8.50851,25.813118,4.784863,-8.714514,54.466827,YRI_73indv
-111.957275,15.233935,8.308132,331.05173,-11.615393,-70.793465,-37.780228,9.513068,11.001941,-11.717968,YRI_74indv
-112.35461,13.971695,4.5807443,22.020765,10.877615,-6.394425,16.289955,11.933141,0.3951781,50.512543,YRI_75indv
-108.7666,14.774561,7.3596487,-12.567963,8.620319,44.195015,-15.230299,-79.92617,-30.310713,82.584755,YRI_76indv
-108.622406,14.072942,7.2045984,-7.8464217,-4.4933615,12.833266,25.950489,27.344522,-52.00146,71.41121,YRI_77indv
-105.68527,10.491907,4.348816,-20.523825,11.104888,-8.752217,-23.111526,4.6755204,-39.25475,18.814682,YRI_78indv
-107.72976,13.085596,7.6006618,-18.301527,-43.05014,25.4885,-17.155499,12.79403,-15.098197,27.620012,YRI_79indv
-107.02654,13.687034,5.681633,-14.204814,-5.194556,7.077843,-14.866014,-10.351369,-42.917522,-22.144125,YRI_80indv
-106.47129,13.9818,4.9022436,9.549732,-8.230888,30.613205,31.348213,76.34857,24.771801,-62.14734,YRI_81indv
-109.3505,13.312103,6.2763743,0.21748199,24.172077,-19.432539,278.87695,-4.5396366,14.551198,9.012515,YRI_82indv
-106.34648,13.1949625,4.168729,-22.02618,-2.0965426,42.86958,-35.33147,8.022619,-9.470697,-126.380424,YRI_83indv
-113.38078,16.960613,7.2710223,461.98608,-4.3540225,-112.69193,-7.619619,-30.86447,-19.265213,-19.094437,YRI_84indv
-93.882706,5.927331,1.6580696,-13.066642,4.7688317,31.38961,7.218509,25.202963,-1.1617202,2.262378,YRI_85indv
-108.62768,11.982491,5.650132,-46.953285,23.591671,-20.584023,-25.924805,-35.658337,-20.247246,-28.23144,YRI_86indv
-107.4152,12.567332,6.6774807,26.227945,20.311325,15.58508,-6.1982465,18.461859,-23.484188,11.816134,YRI_87indv
-107.058174,12.18418,4.553205,-10.2747555,36.80541,23.326689,13.02399,26.681532,-43.53748,-30.08779,YRI_88indv
-108.33318,13.315782,4.121664,14.2427,-61.022083,-30.056902,10.725093,-10.379673,-69.24966,-1.1345531,YRI_89indv
-106.229675,13.131972,6.560358,21.050936,1.2884712,19.287893,41.853024,3.5690267,-7.5988297,29.746773,YRI_90indv
-112.512,15.294248,7.404112,-32.631527,35.29138,4.745284,16.878897,-20.392332,44.35482,-34.232727,YRI_91indv
-108.554306,14.422294,8.57768,-16.075878,-8.603628,40.827053,17.826317,-22.55649,-23.895761,90.87363,YRI_92indv
-101.564384,11.756067,4.113651,9.79937,-0.24367732,4.1875772,15.189809,16.156126,-32.00327,-69.32936,YRI_93indv
-108.12633,12.967016,3.0435474,5.1103816,-1.0488414,21.224127,-26.254297,-19.531807,-8.473394,52.94712,YRI_94indv
-108.10906,14.891533,6.6311145,-9.295834,30.227554,0.7103233,-21.945868,-15.92115,21.550508,9.413679,YRI_95indv
-109.48486,15.783087,6.7319126,3.0079792,-0.4327381,22.050158,-47.8906,-3.1420398,-40.207054,0.10324684,YRI_96indv
-109.556076,13.414249,5.457814,-15.457012,-3.9980648,38.60797,-8.3712845,120.58427,-3.587742,10.969625,YRI_97indv
-109.25525,14.538995,7.8253913,7.0280743,16.561964,20.315243,12.833683,26.288822,-30.176006,92.80898,YRI_98indv
-108.328026,12.857588,4.650237,-18.134455,5.208251,1.7260356,10.158126,73.47602,-3.4575806,-12.970856,YRI_99indv
-109.486,13.399575,5.2984653,-30.319464,-52.70342,-2.6206877,-3.8536055,-12.117015,-9.504866,1.8185331,YRI_100indv
-105.25569,14.090111,7.298661,-33.598526,19.846046,-16.963829,-13.539953,-129.62646,-13.400151,86.219955,YRI_101indv
-106.861244,13.372823,6.3532977,-5.543829,10.715961,16.508791,-4.7270803,-27.221241,20.857315,50.142838,YRI_102indv
-109.22503,13.395835,5.3855042,8.935673,5.931899,25.88397,25.921907,18.643877,6.991135,-35.762527,YRI_103indv
-107.05317,13.606716,6.4780416,-28.357088,39.173332,6.9844737,23.74237,-20.895496,36.920143,-9.207381,YRI_104indv
-109.00809,12.678295,3.7895494,-10.542825,35.90578,42.587692,36.544594,-22.151707,1.4838098,60.154263,YRI_105indv
-104.15033,9.489424,2.601395,-15.414222,34.99568,36.78282,-57.991863,-130.28479,-53.76339,68.12409,YRI_106indv
-110.0982,13.078189,5.819664,11.660265,4.860607,0.8983168,-24.538874,23.565897,36.036415,-73.32977,YRI_107indv
15.700593,-43.38838,-33.960484,-0.27939865,-0.59108967,0.0732359,-2.7477162,-3.1477423,-0.30242535,0.5529873,IBS_108indv
16.59808,-41.83752,-30.75424,-0.63922083,-0.8366135,-0.43112326,-0.08901712,-1.5786012,0.07250304,2.1866577,IBS_109indv
17.669384,-46.17784,-33.247795,0.607998,-2.6520917,-0.49023545,1.3771834,0.6246507,1.2908292,1.3872701,IBS_110indv
17.17968,-42.663803,-33.566837,0.19088398,-0.39305684,0.103313275,0.41112563,-2.7732604,0.2840902,0.2236883,IBS_111indv
15.929183,-40.71033,-30.438251,-0.31329915,-0.61209226,0.20863526,-1.2540358,-0.9376082,1.0764116,-1.2879057,IBS_112indv
16.18197,-40.44035,-32.249714,0.7247066,0.3724468,-1.3899207,0.10912127,0.37538135,2.4915156,-1.6845951,IBS_113indv
16.502895,-42.5649,-32.177174,0.33412477,0.55903846,-0.27632642,0.8805014,-1.7724216,1.3896905,-1.797118,IBS_114indv
16.89738,-43.512325,-33.591057,0.8520659,-0.93628025,-0.33598638,0.8924789,-0.706515,-0.28836393,-1.548994,IBS_115indv
17.380703,-41.938038,-33.547203,0.9787187,-0.37473875,-0.50571364,0.6061292,-1.1461416,0.43115675,0.12235546,IBS_116indv
14.610106,-38.465076,-31.886381,-0.3073629,0.088750355,-2.993693,-0.23265707,0.6219343,1.8325014,-0.7760883,IBS_117indv
17.454391,-40.80052,-31.537474,-0.36780965,0.07605451,0.7581973,-0.6294529,1.3112495,1.836151,-3.813923,IBS_118indv
18.044239,-34.672474,-31.307386,1.0252647,0.2229258,0.0847878,0.7858717,0.6927172,1.6852235,0.11784703,IBS_119indv
14.203225,-41.516518,-32.626446,0.3784039,0.9538857,-1.551518,-0.18179515,-1.1360127,2.5789168,-1.1317639,IBS_120indv
17.467192,-42.523933,-33.980816,0.24129382,-0.6019575,-2.6036198,0.42128128,0.44226652,-0.58752257,1.5567282,IBS_121indv
16.892832,-43.22209,-31.929405,0.88838875,0.28986138,-1.4151587,-0.41147688,-1.5547404,0.8381472,1.5602416,IBS_122indv
17.77801,-40.791874,-32.782436,0.69495875,-0.9060658,1.134511,0.2540442,-1.0245606,2.6093774,2.2056396,IBS_123indv
17.827034,-43.77323,-33.78089,-0.76258856,-0.98423326,-0.28795558,0.5667462,1.6486564,-0.9296244,1.1183062,IBS_124indv
15.643965,-43.476498,-33.427048,0.2076198,-0.85754657,0.5162396,1.7001339,-1.0653853,2.1760302,-1.080863,IBS_125indv
17.590923,-34.915646,-32.91172,0.9435801,-0.24338031,-0.56310725,1.0593816,0.03541385,1.1621653,-0.2811964,IBS_126indv
15.941015,-43.31244,-33.099983,0.22215171,-0.7108509,0.09671478,1.0621995,-0.28310445,1.9405336,-0.09358045,IBS_127indv
18.117271,-38.62485,-32.223408,0.2562931,-1.0087321,0.31473288,0.024707695,1.1834987,2.060451,-0.2831738,IBS_128indv
16.225742,-41.134228,-31.00024,1.7440594,-0.50852364,0.1735384,0.021894306,-1.0662363,1.2098434,-0.17026666,IBS_129indv
14.642865,-41.46088,-31.05441,0.8690455,0.4103308,-0.84510076,-0.6719779,-1.2276092,-1.2495364,0.25977352,IBS_130indv
19.925198,-42.610413,-34.655235,0.14559108,0.30914235,1.4277362,1.1495435,0.9881756,0.5801217,-0.30507404,IBS_131indv
14.838295,-38.201626,-33.24521,0.6079574,-0.27688542,-0.39016226,1.1013215,-1.09228,0.17534311,2.8422818,IBS_132indv
17.61293,-40.13812,-32.48929,0.25780833,-0.53318876,-0.7298704,3.081741,-0.64934725,1.5936661,-0.5224562,IBS_133indv
12.827562,-41.925972,-28.617495,-0.9385449,-1.7369928,-1.553124,-1.0836905,2.019267,-2.0058386,0.47851622,IBS_134indv
16.816559,-40.482826,-32.96259,2.5690227,-0.30394694,-0.5146825,1.5962415,0.024696138,1.6673185,-0.30273005,IBS_135indv
12.53895,-41.121597,-31.476982,-2.1037903,1.1595911,-4.882451,-0.047430374,-2.5108044,0.3166957,2.9215536,IBS_136indv
17.98653,-42.232918,-33.292427,0.9477881,-1.069096,-0.6518501,-0.27840143,-0.31052428,0.8178822,-0.58910805,IBS_137indv
18.565922,-46.13451,-33.048344,0.93845177,-0.2951764,-0.24896772,-1.0530158,-1.199034,1.3210282,0.6126474,IBS_138indv
18.88698,-42.754326,-30.756727,0.12216093,-0.26069182,-1.3312141,1.4771457,0.6377303,0.53802043,0.24899153,IBS_139indv
14.690631,-43.45714,-32.242878,-0.106489554,-0.6207867,0.88898724,-1.9931815,2.0615213,0.4941353,-0.9922453,IBS_140indv
13.651736,-40.465767,-31.054749,0.78488064,0.08146841,-0.64484143,0.58984137,-3.0085979,-1.0308448,0.95211565,IBS_141indv
16.926807,-42.035076,-33.353683,1.0008546,-1.2826717,1.6166934,-0.79842114,0.23773499,2.176789,-0.24649312,IBS_142indv
16.03323,-44.249123,-35.28042,2.352472,0.09894104,0.025129203,4.343727,-0.17945728,2.3417723,0.70279425,IBS_143indv
15.311339,-40.302586,-30.060965,0.15507756,-0.34574163,0.50905824,1.436968,-1.8459113,1.657894,-0.10808003,IBS_144indv
15.08104,-44.93131,-32.711384,1.3427018,-1.046347,0.55811846,-0.13758981,1.4821101,0.3767923,1.9525343,IBS_145indv
16.601095,-44.21302,-34.28856,1.169723,-0.42743057,-0.63420373,0.55730176,-0.6664018,0.57377434,-0.41791734,IBS_146indv
15.740373,-42.750797,-30.967527,0.81785923,-0.7305915,-0.24766248,1.1188608,-0.6134538,-0.075944506,0.48550516,IBS_147indv
18.407036,-35.99555,-31.6803,0.65777814,-0.11804171,-0.37091458,2.8640094,-0.8132121,0.6420745,0.49995932,IBS_148indv
16.19329,-44.555138,-34.558647,1.2457694,0.59012693,0.70184106,-0.12775768,-0.92377245,0.61463654,2.5280933,IBS_149indv
17.241983,-41.833298,-30.69192,0.97690165,0.044356555,-0.5353986,1.1715046,-0.7526116,-1.0018069,0.15256505,IBS_150indv
15.990958,-41.5284,-30.545076,0.590399,-0.37047514,0.428808,1.6426581,0.050399225,-0.84029925,-2.1705513,IBS_151indv
17.251226,-38.838203,-30.069132,1.1641237,-0.44735834,0.49427867,-0.4343223,-0.41107118,0.1119301,0.8534348,IBS_152indv
16.673626,-41.98916,-34.43289,0.74764854,-0.61243963,0.5924318,0.8590884,-0.2024624,1.0966442,0.8822871,IBS_153indv
18.586535,-39.50956,-32.622345,0.611866,-1.3364468,0.5304427,-0.064757,-0.0062097423,1.4524364,-1.2891495,IBS_154indv
15.196795,-40.623535,-34.2148,0.46978697,-1.2228125,0.4126204,0.38245526,-1.2196592,-0.71234906,0.4720803,IBS_155indv
15.844778,-40.62822,-31.261944,0.940777,-1.0197932,-1.4344138,-0.42273238,-0.40993243,0.75947773,-2.2857542,IBS_156indv
